name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2023-01-01,33.5,24,28.1,36.4,24,29.9,22.5,73.5,0.023,100,4.17,rain,0,0,7.9,15.3,283.2,1011.9,52.2,9.3,175.2,15.2,6,10,2023-01-01T07:18:18,2023-01-01T19:14:51,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-02,32.6,24.7,27.1,37.6,24.7,28.3,23,79.5,0,0,0,rain,0,0,7.9,12.5,295.5,1012.4,47.5,9.4,194.3,16.8,7,30,2023-01-02T07:18:45,2023-01-02T19:15:20,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-03,32.9,24.8,27.4,36.3,24.8,28.7,23,78.6,2.38,100,4.17,rain,0,0,8.6,12.3,243.7,1012.2,51.2,9.1,211.8,18.3,9,30,2023-01-03T07:19:12,2023-01-03T19:15:50,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-04,31.6,23.4,26.5,36.6,23.4,28.2,23.3,83.2,0,0,0,rain,0,0,8.6,13,286,1011.9,49.7,9.7,175.8,15.2,7,30,2023-01-04T07:19:38,2023-01-04T19:16:18,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-05,31.9,23,26.6,36.6,23,28.7,23.2,82.9,21.348,100,8.33,rain,0,0,9,15.9,297.7,1011,51.3,9.8,173.8,14.9,8,30,2023-01-05T07:20:04,2023-01-05T19:16:47,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-06,32.2,24.8,27.9,37.7,24.8,30.2,23.7,79.6,16.797,100,4.17,rain,0,0,8.6,16.9,293.4,1010.8,50.5,9.9,185.5,15.9,9,30,2023-01-06T07:20:29,2023-01-06T19:17:15,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-07,31.8,24.9,27.4,35.8,24.9,29.4,23,77.5,0.812,100,4.17,rain,0,0,7.6,17.9,307.6,1010.4,51.9,10,221.2,19.1,8,30,2023-01-07T07:20:54,2023-01-07T19:17:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-08,31.2,24,27.3,36.2,24,29.6,23.4,79.8,0,0,0,rain,0,0,12.6,19.6,289.5,1010.7,46.8,10.1,166.8,14.4,8,30,2023-01-08T07:21:18,2023-01-08T19:18:11,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-09,32,24.2,28.1,37.9,24.2,30.8,23.4,76.5,0,0,0,rain,0,0,9.7,17.1,303.9,1011.4,52.7,9.9,239.3,20.6,9,60,2023-01-09T07:21:41,2023-01-09T19:18:38,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-10,30,25.1,27.1,34.6,25.1,29.7,23.9,83,0,0,0,rain,0,0,29.5,12.5,307.9,1011.2,52.8,9.7,215.5,18.7,7,30,2023-01-10T07:22:04,2023-01-10T19:19:05,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
